player,matchId,home,away,penaltyWinner
HaraldHeimspiel,690573,1,0,
HaraldHeimspiel,690574,1,0,
HaraldHeimspiel,690575,1,0,
HaraldHeimspiel,690576,1,0,
HaraldHeimspiel,690577,1,0,
HaraldHeimspiel,690578,1,0,
HaraldHeimspiel,690579,1,0,
HaraldHeimspiel,690580,1,0,
HaraldHeimspiel,690581,1,0,
HaraldHeimspiel,690582,1,0,
HaraldHeimspiel,690583,1,0,
HaraldHeimspiel,690584,1,0,
HaraldHeimspiel,690585,1,0,
HaraldHeimspiel,690586,1,0,
HaraldHeimspiel,690587,1,0,
HaraldHeimspiel,690588,1,0,
HaraldHeimspiel,690589,1,0,
HaraldHeimspiel,690590,1,0,
HaraldHeimspiel,690591,1,0,
HaraldHeimspiel,690592,1,0,
HaraldHeimspiel,690593,1,0,
HaraldHeimspiel,690594,1,0,
HaraldHeimspiel,690595,1,0,
HaraldHeimspiel,690596,1,0,
HaraldHeimspiel,690597,1,0,
HaraldHeimspiel,690598,1,0,
HaraldHeimspiel,690599,1,0,
HaraldHeimspiel,690600,1,0,
HaraldHeimspiel,690601,1,0,
HaraldHeimspiel,690602,1,0,
HaraldHeimspiel,690603,1,0,
HaraldHeimspiel,690604,1,0,
HaraldHeimspiel,690605,1,0,
HaraldHeimspiel,690606,1,0,
HaraldHeimspiel,690607,1,0,
HaraldHeimspiel,690608,1,0,
HaraldHeimspiel,703931,1,0,
HaraldHeimspiel,703932,1,0,
HaraldHeimspiel,703933,1,0,
HaraldHeimspiel,703934,1,0,
HaraldHeimspiel,703935,1,0,
HaraldHeimspiel,703936,1,0,
HaraldHeimspiel,703937,1,0,
HaraldHeimspiel,703938,1,0,
HaraldHeimspiel,703939,1,0,
HaraldHeimspiel,703940,1,0,
HaraldHeimspiel,703941,1,0,
HaraldHeimspiel,703942,1,0,
HaraldHeimspiel,703943,1,0,
HaraldHeimspiel,703944,1,0,
HaraldHeimspiel,703945,1,0,
RichardRoadtrip,690573,0,1,
RichardRoadtrip,690574,0,1,
RichardRoadtrip,690575,0,1,
RichardRoadtrip,690576,0,1,
RichardRoadtrip,690577,0,1,
RichardRoadtrip,690578,0,1,
RichardRoadtrip,690579,0,1,
RichardRoadtrip,690580,0,1,
RichardRoadtrip,690581,0,1,
RichardRoadtrip,690582,0,1,
RichardRoadtrip,690583,0,1,
RichardRoadtrip,690584,0,1,
RichardRoadtrip,690585,0,1,
RichardRoadtrip,690586,0,1,
RichardRoadtrip,690587,0,1,
RichardRoadtrip,690588,0,1,
RichardRoadtrip,690589,0,1,
RichardRoadtrip,690590,0,1,
RichardRoadtrip,690591,0,1,
RichardRoadtrip,690592,0,1,
RichardRoadtrip,690593,0,1,
RichardRoadtrip,690594,0,1,
RichardRoadtrip,690595,0,1,
RichardRoadtrip,690596,0,1,
RichardRoadtrip,690597,0,1,
RichardRoadtrip,690598,0,1,
RichardRoadtrip,690599,0,1,
RichardRoadtrip,690600,0,1,
RichardRoadtrip,690601,0,1,
RichardRoadtrip,690602,0,1,
RichardRoadtrip,690603,0,1,
RichardRoadtrip,690604,0,1,
RichardRoadtrip,690605,0,1,
RichardRoadtrip,690606,0,1,
RichardRoadtrip,690607,0,1,
RichardRoadtrip,690608,0,1,
RichardRoadtrip,703931,0,1,
RichardRoadtrip,703932,0,1,
RichardRoadtrip,703933,0,1,
RichardRoadtrip,703934,0,1,
RichardRoadtrip,703935,0,1,
RichardRoadtrip,703936,0,1,
RichardRoadtrip,703937,0,1,
RichardRoadtrip,703938,0,1,
RichardRoadtrip,703939,0,1,
RichardRoadtrip,703940,0,1,
RichardRoadtrip,703941,0,1,
RichardRoadtrip,703942,0,1,
RichardRoadtrip,703943,0,1,
RichardRoadtrip,703944,0,1,
RichardRoadtrip,703945,0,1,
